# pearsid field ra dec zspec zspec_source zspec_qual netsig d4000 d4000_err
108448 GOODS-N 189.379386 62.308392 1.1994 Barger_K Z 326.05 1.36 0.06
94231 GOODS-N 189.379590 62.287426 1.0130 Barger_K Z 358.40 1.43 0.05
122616 GOODS-N 189.381705 62.335724 1.1530 Barger_K Z 96.93 1.28 0.15
93364 GOODS-N 189.384157 62.282941 0.9750 Barger_K Z 761.60 1.42 0.04
125098 GOODS-N 189.384642 62.342237 1.2230 Barger_K Z 319.61 1.99 0.09
118148 GOODS-N 189.387321 62.323195 0.9365 Barger_ACS Z 150.37 1.16 0.07
124386 GOODS-N 189.390277 62.344510 0.8411 Wirth_2004 4 222.50 1.49 0.07
123538 GOODS-N 189.393175 62.341860 0.9376 Wirth_2004 4 385.52 1.59 0.06
96098 GOODS-N 189.393959 62.289808 0.6407 Cooper_201 4 552.13 1.37 0.05
117825 GOODS-N 189.395781 62.323567 0.6342 Barger_UV Z 490.62 1.27 0.04
122560 GOODS-N 189.397021 62.335577 1.0830 Barger_24m Z 389.61 1.19 0.04
114628 GOODS-N 189.397163 62.321637 0.8357 MOSDEF 4 541.75 1.40 0.04
120498 GOODS-N 189.397403 62.329535 1.1470 Barger_24m Z 111.17 1.54 0.13
123290 GOODS-N 189.398052 62.338414 1.1420 Wirth_2004 4 165.23 1.37 0.08
97879 GOODS-N 189.398053 62.301465 0.8400 Barger_24m Z 586.22 1.37 0.05
123811 GOODS-N 189.398084 62.341783 0.6813 Wirth_2004 4 310.64 1.29 0.05
122855 GOODS-N 189.399077 62.335984 1.0820 Barger_ACS Z 172.91 1.17 0.07
117715 GOODS-N 189.400004 62.322069 1.0264 Barger_K Z 100.71 1.33 0.13
97147 GOODS-N 189.400065 62.290546 0.7092 Barger_ACS Z 462.18 1.53 0.06
113700 GOODS-N 189.405541 62.315743 1.0850 Barger_K Z 85.51 1.30 0.15
95002 GOODS-N 189.409748 62.288231 0.8797 Barger_ACS Z 205.49 1.76 0.10
125963 GOODS-N 189.413571 62.349900 0.8370 Barger_24m Z 995.43 1.11 0.03
112509 GOODS-N 189.418455 62.314892 0.9549 Wirth_2004 3 141.09 1.36 0.09
122267 GOODS-N 189.419315 62.335444 0.7413 Wirth_2004 4 214.75 1.18 0.05
117087 GOODS-N 189.441919 62.321199 1.0116 Barger_K Z 50.91 1.27 0.20
126406 GOODS-S 53.022116 -27.701411 0.8610 VVDS B 176.41 1.12 0.09
129355 GOODS-S 53.030771 -27.694952 0.8610 VVDS B 39.82 1.17 146.74
125952 GOODS-S 53.033512 -27.701204 1.0420 VVDS D 227.76 1.36 0.07
126478 GOODS-S 53.035188 -27.696088 0.7300 PEARS_ETGs Z 656.87 1.21 0.04
122722 GOODS-S 53.035556 -27.704930 0.7300 PEARS_ETGs Z 751.82 1.47 0.05
112617 GOODS-S 53.039396 -27.726626 1.0230 VLT_2008 A 84.58 1.50 0.14
121733 GOODS-S 53.039915 -27.711628 0.6830 VVDS B 171.17 1.15 0.07
117725 GOODS-S 53.040435 -27.713365 0.7350 VLT_2008 A 701.90 1.47 0.05
113298 GOODS-S 53.041827 -27.725868 1.0100 PEARS_ETGs Z 345.89 1.83 0.07
111030 GOODS-S 53.042569 -27.733020 1.0580 VLT_2008 A 47.18 1.23 0.20
112887 GOODS-S 53.043274 -27.716895 0.9400 PEARS_ETGs Z 1034.46 1.49 0.04
127997 GOODS-S 53.045332 -27.698436 1.0593 VIMOS_10_M C 20.38 1.49 0.87
111741 GOODS-S 53.045461 -27.728629 0.9980 VLT_2008 A 330.77 1.47 0.05
114657 GOODS-S 53.045639 -27.724930 1.2150 VLT_2008 A 198.59 1.31 0.08
117632 GOODS-S 53.047138 -27.709112 0.6068 VVDS_Final 4 885.11 1.21 0.04
126415 GOODS-S 53.047412 -27.701823 0.7330 VLT_2008 A 63.59 1.77 0.33
118434 GOODS-S 53.049693 -27.718128 1.1080 VLT_2008 A 59.45 1.46 0.20
123066 GOODS-S 53.050812 -27.707512 0.7350 VVDS D 116.91 1.32 0.10
126094 GOODS-S 53.053361 -27.700461 1.0180 VVDS B 294.31 1.31 0.05
119489 GOODS-S 53.055124 -27.711379 0.6050 CXO-CDFS A 1689.60 1.20 0.03
117070 GOODS-S 53.057988 -27.720001 0.6810 VVDS D 89.10 1.25 0.13
119774 GOODS-S 53.059436 -27.715070 0.8140 VLT_2008 A 98.98 1.36 0.11
132104 GOODS-S 53.061049 -27.688081 0.8180 VVDS B 188.17 1.25 0.06
113678 GOODS-S 53.061175 -27.726963 0.9100 PEARS_ETGs Z 142.71 1.38 0.08
127226 GOODS-S 53.061782 -27.699201 0.6800 PEARS_ETGs Z 357.05 1.66 0.08
110801 GOODS-S 53.062030 -27.732863 1.1090 VLT_2008 A 54.58 1.31 0.21
124152 GOODS-S 53.063392 -27.706962 0.8460 VVDS C 120.18 1.17 0.08
131716 GOODS-S 53.065419 -27.687848 1.0440 VLT_2008 C 127.27 1.34 0.11
106861 GOODS-S 53.066596 -27.739707 0.7350 K20 A 242.81 1.41 0.07
118100 GOODS-S 53.070304 -27.717853 0.6440 VVDS B 159.11 1.13 0.07
109885 GOODS-S 53.071336 -27.735481 0.7300 PEARS_ETGs Z 165.99 1.63 0.12
122766 GOODS-S 53.071763 -27.708439 0.6050 VVDS B 128.00 1.18 0.11
117138 GOODS-S 53.072352 -27.718686 0.6480 ACES_2012 4 581.46 1.19 0.04
131165 GOODS-S 53.074629 -27.689635 1.0410 VLT_2008 A 197.49 1.72 0.09
126365 GOODS-S 53.074843 -27.701080 0.6430 VVDS D 125.78 1.60 0.16
126769 GOODS-S 53.076163 -27.701149 0.8470 VVDS B 233.94 1.18 0.05
