# pearsid  field  ra  dec  zspec  zspec_source  zspec_qual  netsig  imag
76098 GOODS-N 189.201368 62.252073 -99.0000 -99.0 - 429.93 22.10
82122 GOODS-N 189.201991 62.261290 0.5050 Barger_K Z 228.74 22.47
36569 GOODS-N 189.202385 62.180277 -99.0000 -99.0 - 117.34 23.46
61746 GOODS-N 189.202411 62.224541 -99.0000 -99.0 - 134.89 22.95
44756 GOODS-N 189.202412 62.194457 -99.0000 -99.0 - 165.19 23.29
83503 GOODS-N 189.202551 62.264620 0.8522 Barger_K Z 534.24 21.62
44078 GOODS-N 189.202683 62.194841 1.0133 Barger_K Z 453.54 22.09
75556 GOODS-N 189.203636 62.248798 -99.0000 -99.0 - 106.30 23.86
74546 GOODS-N 189.203756 62.247513 2.3628 MOSDEF 4 140.66 23.53
54992 GOODS-N 189.204131 62.212768 0.6820 Wirth_2015 1 109.48 23.56
83073 GOODS-N 189.204195 62.261746 3.1250 Barger_ACS Z 126.82 23.92
78177 GOODS-N 189.204425 62.253425 -99.0000 -99.0 - 241.38 22.87
51003 GOODS-N 189.204441 62.205905 0.9535 Barger_K Z 242.66 22.46
87294 GOODS-N 189.204449 62.272405 0.5012 Barger_K Z 339.78 22.14
92451 GOODS-N 189.205107 62.279298 0.1430 Barger_ACS Z 110.59 23.54
45496 GOODS-N 189.205229 62.196807 0.9596 Wirth_2004 3 179.82 22.96
47252 GOODS-N 189.205633 62.198629 0.9626 Barger_K Z 169.95 23.38
57554 GOODS-N 189.205712 62.219798 0.4760 Barger_K Z 563.71 22.18
59410 GOODS-N 189.205943 62.229700 0.0893 Barger_K Z 5692.06 18.23
91949 GOODS-N 189.206002 62.286656 -99.0000 -99.0 - 14589.61 16.29
66753 GOODS-N 189.206239 62.235220 0.7520 Barger_UV Z 395.31 21.87
55879 GOODS-N 189.206816 62.216006 0.4748 Barger_24m Z 421.92 22.07
40200 GOODS-N 189.206932 62.186945 -99.0000 -99.0 - 392.74 21.91
81469 GOODS-N 189.207041 62.259516 -99.0000 -99.0 - 171.34 22.90
39487 GOODS-N 189.207262 62.185225 -99.0000 -99.0 - 134.13 23.10
82267 GOODS-N 189.207799 62.261628 -99.0000 -99.0 - 175.92 22.83
37225 GOODS-N 189.208158 62.182990 0.6831 Wirth_2004 4 241.33 22.67
89985 GOODS-N 189.208276 62.276976 0.5035 Barger_K Z 553.26 21.55
