# The 3DHST ID is specific to its north or south catalog. Currently using 3DHST v4.1.5 catalog.
# pears_id threed_south_idv415 pears_ra pears_dec threed_ra threed_dec
120067 41964 53.052293 -27.714650 53.052299 -27.714680
118290 40993 53.052316 -27.718359 53.052273 -27.718412
129873 46322 53.052359 -27.693725 53.052372 -27.693720
127195 44797 53.052484 -27.700653 53.052486 -27.700655
125875 44594 53.052616 -27.702236 53.052608 -27.702236
113520 39505 53.052668 -27.725028 53.052673 -27.725044
128674 45697 53.052724 -27.696961 53.052727 -27.696957
115276 39797 53.052800 -27.724466 53.052803 -27.724466
129646 46123 53.052821 -27.694945 53.052811 -27.694942
127541 45156 53.052836 -27.699331 53.052834 -27.699327
114902 39801 53.053071 -27.724636 53.053062 -27.724609
122961 43003 53.053144 -27.709504 53.053146 -27.709492
128538 45872 53.053157 -27.695681 53.053146 -27.695675
125425 44102 53.053162 -27.704258 53.053150 -27.704258
109725 37599 53.053194 -27.735521 53.053219 -27.735498
126094 43891 53.053361 -27.700461 53.053364 -27.700457
124842 43905 53.053641 -27.704805 53.053642 -27.704817
125147 43954 53.053934 -27.704651 53.053921 -27.704647
110476 37587 53.053998 -27.735342 53.054008 -27.735352
121020 42019 53.054238 -27.713664 53.054234 -27.713655
123930 43321 53.054316 -27.707691 53.054314 -27.707685
130301 46251 53.054398 -27.693711 53.054390 -27.693720
124761 41957 53.054422 -27.701337 53.054424 -27.701357
114978 40001 53.054705 -27.723817 53.054703 -27.723820
127359 45046 53.054745 -27.699582 53.054741 -27.699579
121149 42270 53.054879 -27.713192 53.054886 -27.713173
128610 45829 53.054961 -27.696628 53.054962 -27.696651
127229 45258 53.055054 -27.699454 53.055027 -27.699451
114221 39684 53.055115 -27.725774 53.055111 -27.725765
119489 41898 53.055124 -27.711379 53.055122 -27.711378
123417 43300 53.055174 -27.708133 53.055164 -27.708143
118908 41138 53.055207 -27.717797 53.055191 -27.717821
116929 40442 53.055242 -27.721214 53.055260 -27.721207
128126 45549 53.055307 -27.697819 53.055302 -27.697817
122146 42921 53.055414 -27.710116 53.055382 -27.710089
115723 40078 53.055613 -27.723439 53.055614 -27.723438
121757 42831 53.055729 -27.711084 53.055748 -27.711073
117002 40553 53.055889 -27.721100 53.055897 -27.721098
118367 40899 53.055906 -27.718788 53.055912 -27.718805
127741 45608 53.056089 -27.697177 53.056087 -27.697180
115684 40114 53.056283 -27.723210 53.056297 -27.723211
120286 41682 53.056371 -27.715276 53.056374 -27.715282
115082 39646 53.056508 -27.724961 53.056519 -27.724962
119666 41775 53.056512 -27.715668 53.056519 -27.715683
116752 40394 53.056665 -27.721719 53.056660 -27.721718
113132 38867 53.056694 -27.728931 53.056721 -27.728933
126763 44677 53.056698 -27.701498 53.056686 -27.701498
117648 40846 53.056758 -27.719513 53.056770 -27.719521
117203 40759 53.056923 -27.720294 53.056915 -27.720303
108359 36734 53.056935 -27.739959 53.056942 -27.739958
