# pearsid field ra dec specz specz_source specz_qual imag
109592 GOODS-N 189.356213 62.313886 0.8410 Barger_24m Z 20.98
127420 GOODS-N 189.357042 62.349206 1.0828 Barger_ACS Z 22.64
96475 GOODS-N 189.357471 62.287353 0.9150 Barger_24m Z 22.66
95024 GOODS-N 189.359009 62.285243 0.7779 Barger_ACS Z 22.77
92108 GOODS-N 189.359789 62.279739 1.1831 Barger_K Z 23.72
119879 GOODS-N 189.359991 62.329089 1.0103 Barger_ACS Z 22.50
119616 GOODS-N 189.363144 62.327969 1.0095 Barger_K Z 23.94
98997 GOODS-N 189.363747 62.293080 1.0108 Barger_K Z 23.12
128375 GOODS-N 189.363901 62.351774 0.8620 Barger_UV Z 22.78
96423 GOODS-N 189.364363 62.287230 0.7780 Barger_K Z 22.69
121232 GOODS-N 189.364826 62.332437 0.8548 Barger_K Z 23.37
125086 GOODS-N 189.366080 62.342984 1.1482 Barger_K Z 23.00
125832 GOODS-N 189.368309 62.344300 1.1405 Barger_ACS Z 23.76
122971 GOODS-N 189.369137 62.336545 1.2237 Barger_K Z 23.89
93853 GOODS-N 189.373073 62.281435 0.7085 Barger_ACS Z 23.62
96167 GOODS-N 189.373610 62.286844 0.6407 Barger_UV Z 23.33
91764 GOODS-N 189.374389 62.279124 0.8580 Barger_K Z 22.58
117847 GOODS-N 189.375144 62.322488 0.8360 Barger_K Z 23.68
123476 GOODS-N 189.375896 62.342342 0.6338 Wirth_2004 4 21.00
117153 GOODS-N 189.376298 62.321320 0.8357 Barger_UV Z 23.05
93460 GOODS-N 189.377258 62.280706 0.7078 Cooper_201 3 24.01
107152 GOODS-N 189.379063 62.305686 1.0120 Barger_K Z 23.15
108448 GOODS-N 189.379386 62.308392 1.1994 Barger_K Z 23.32
94231 GOODS-N 189.379590 62.287426 1.0130 Barger_K Z 21.94
