# These galaxies are in the GOODS-S field.
# pearsid pearsra pearsdec matchid matchra matchdec source zphot zphot_l68 zphot_u68
131172 53.049096 -27.691305 25828 53.049126 -27.691292 CANDELS 3.3690 3.3000 3.4300
131699 53.049145 -27.690433 25377 53.049160 -27.690435 CANDELS 2.1940 2.0100 2.4400
112891 53.049223 -27.729421 21191 53.049259 -27.729418 CANDELS 0.7810 0.6800 0.8800
110795 53.049251 -27.732011 21004 53.049255 -27.732002 CANDELS 1.2210 1.1600 1.2800
126754 53.049368 -27.701232 26028 53.049393 -27.701237 CANDELS 0.4890 0.4600 4.7200
129968 53.049383 -27.694312 25419 53.049389 -27.694311 CANDELS 0.5870 0.5400 0.6300
119750 53.049422 -27.715250 23811 53.049412 -27.715269 CANDELS 2.3430 2.0600 2.5800
108821 53.049422 -27.737043 20495 53.049423 -27.737049 CANDELS 1.2470 1.1900 1.3100
119130 53.049435 -27.716747 22693 53.049419 -27.716743 CANDELS 3.6910 3.5100 3.8700
110400 53.049503 -27.735026 20576 53.049507 -27.735033 CANDELS 0.6810 0.6600 0.7100
118434 53.049693 -27.718128 22589 53.049706 -27.718140 CANDELS 1.1060 1.0500 1.1600
122949 53.049764 -27.708714 23032 53.049751 -27.708712 CANDELS 1.2120 1.1500 1.2700
124345 53.049782 -27.704859 26674 53.049782 -27.704863 CANDELS 0.1820 0.1100 0.2600
121904 53.049956 -27.711933 23169 53.049961 -27.711943 CANDELS 0.7650 0.7100 0.8200
127950 53.049996 -27.698682 26008 53.050007 -27.698704 CANDELS 0.3920 0.3600 0.4300
112145 53.050151 -27.731279 21001 53.050167 -27.731264 CANDELS 0.0960 0.0500 0.1500
124269 53.050267 -27.707079 23071 53.050263 -27.707090 CANDELS 1.5310 1.4600 1.6200
120448 53.050282 -27.714652 23858 53.050266 -27.714636 CANDELS 0.0680 0.0400 0.1000
