# Catalog for all galaxies that matched between CANDELS and PEARS in GOODS-S.
# If a galaxy did not match with CANDELS then a matching in 3DHST was attempted.
# the 'zphot_source' column indicates the source of the photometric redshift.
# pearsid field redshift zphot_source ra dec dn4000 dn4000_err d4000 d4000_err
29564 GOODS-S 1.1220 CANDELS 53.159047 -27.887584 0.8669 1.5976 0.1615 0.5672
29598 GOODS-S 1.0430 CANDELS 53.135199 -27.888215 1.1106 0.7695 1.3043 0.5313
29626 GOODS-S 0.8520 CANDELS 53.168528 -27.887806 0.8144 0.2733 0.6247 0.1302
29630 GOODS-S 0.9120 CANDELS 53.170713 -27.887528 1.0218 0.5423 1.0328 0.2652
29789 GOODS-S 1.0660 CANDELS 53.134525 -27.887360 1.3639 0.4524 1.7006 0.2584
29794 GOODS-S 0.6970 CANDELS 53.138950 -27.886919 1.2366 0.2189 1.4656 0.1213
29922 GOODS-S 1.2020 CANDELS 53.146450 -27.887230 0.6926 0.3914 0.7779 0.2902
30010 GOODS-S 0.6800 CANDELS 53.164521 -27.883791 1.4184 0.1993 2.0519 0.1371
30107 GOODS-S 0.9720 CANDELS 53.133932 -27.886666 1.0577 0.1009 1.0952 0.0610
30157 GOODS-S 1.1560 CANDELS 53.165231 -27.886695 -0.1725 4.2644 3.4021 5.5748
30286 GOODS-S 0.6190 CANDELS 53.195926 -27.885478 1.2096 0.1813 1.3654 0.1022
30400 GOODS-S 0.8400 CANDELS 53.189836 -27.886024 0.5691 0.6869 0.6220 0.3697
30492 GOODS-S 0.6680 CANDELS 53.184351 -27.882793 1.2282 0.4763 1.2397 0.2711
30676 GOODS-S 0.6600 CANDELS 53.164456 -27.883471 1.2915 0.0998 1.6947 0.0598
30742 GOODS-S 1.0000 CANDELS 53.133410 -27.884884 1.2748 0.2959 1.2977 0.1456
30763 GOODS-S 0.6850 CANDELS 53.165467 -27.885331 0.8733 0.1109 1.0521 0.0663
30887 GOODS-S 0.9060 CANDELS 53.179241 -27.884619 1.2684 0.2221 1.1724 0.0961
30931 GOODS-S 0.6190 CANDELS 53.133725 -27.885608 0.9462 0.1527 0.7436 0.0626
31086 GOODS-S 0.8800 CANDELS 53.178130 -27.884897 1.1325 0.1659 1.0136 0.0841
31202 GOODS-S 0.8200 CANDELS 53.141467 -27.883810 0.8556 1.1412 1.5304 1.1308
31325 GOODS-S 0.6070 CANDELS 53.185805 -27.882850 1.1309 0.1259 1.2942 0.0711
31356 GOODS-S 1.2230 CANDELS 53.176323 -27.883910 1.2068 0.2827 1.5575 0.1898
31393 GOODS-S 1.1080 CANDELS 53.136864 -27.884116 1.0244 0.4317 1.4320 0.2791
31548 GOODS-S 0.6190 CANDELS 53.150256 -27.884272 0.9679 0.3856 1.0868 0.2137
31570 GOODS-S 1.1071 3DHST 53.179467 -27.884622 -0.7214 2.8474 -1.4512 4.4617
31736 GOODS-S 0.8300 CANDELS 53.197023 -27.883870 1.0751 0.6135 1.3636 0.3923
31772 GOODS-S 1.0940 CANDELS 53.151813 -27.883911 0.5993 0.5956 0.8057 0.4661
31861 GOODS-S 0.6390 CANDELS 53.172679 -27.882669 1.0135 0.1387 1.2003 0.0798
31899 GOODS-S 1.1000 CANDELS 53.139820 -27.880603 0.9759 0.0809 1.2739 0.0543
32005 GOODS-S 0.9130 CANDELS 53.198754 -27.883207 0.5765 0.3242 0.9908 0.2754
32173 GOODS-S 1.0900 CANDELS 53.174370 -27.881627 1.0844 0.2683 1.1300 0.1640
32224 GOODS-S 1.0750 CANDELS 53.174383 -27.882214 1.1620 0.6755 1.5160 0.3903
32847 GOODS-S 0.9720 CANDELS 53.161467 -27.882067 1.3258 1.3038 0.8105 0.4051
32858 GOODS-S 1.0670 CANDELS 53.138870 -27.881572 1.0859 0.4422 1.3292 0.2796
32879 GOODS-S 0.6570 CANDELS 53.164936 -27.881432 1.1605 0.4463 1.5035 0.2811
32905 GOODS-S 0.9610 CANDELS 53.158369 -27.881665 1.1217 0.1828 1.0194 0.0802
33013 GOODS-S 1.1965 3DHST 53.174321 -27.879635 0.9301 2.4327 2.3465 1.9560
