# Tex formatted table 3 for SPZ paper
Last login: Sun Jun 30 16:35:12 on ttys001
Bhavins-MBP:grismz_pipeline bhavinjoshi$ python make_paper_table.py  
ID       RA    DEC       Field      zspec    zphot    zg     zspz    NetSig    D4000    D4000_err    iABmag
90388    & GOODS-S   & 53.1059353   & $-$27.771416   & 0.896   & 0.93$\substack{+0.00 \\ -0.01}$   & 0.77$\substack{+0.08 \\ -0.00}$   & 0.92$\substack{+0.01 \\ -0.03}$   & 353.71   & 1.27   & 0.05   & 22.08 \\
60709    & GOODS-S   & 53.1909224   & $-$27.831035   & 1.228   & 1.17$\substack{+0.02 \\ -0.03}$   & 1.24$\substack{+0.00 \\ -0.00}$   & 1.16$\substack{+0.08 \\ -0.03}$   & 92.70    & 1.29   & 0.16   & 24.25 \\
79903    & GOODS-N   & 189.1893278   & 62.256443   & 0.682   & 0.71$\substack{+0.00 \\ -0.01}$   & 0.40$\substack{+0.00 \\ -0.00}$   & 0.67$\substack{+0.03 \\ -0.01}$   & 283.14   & 1.14   & 0.05   & 22.27 \\
102163   & GOODS-S   & 53.1152531   & $-$27.751588   & 1.110   & 1.01$\substack{+0.01 \\ -0.04}$   & 0.98$\substack{+0.00 \\ -0.00}$   & 0.98$\substack{+0.01 \\ -0.00}$   & 68.63    & 1.21   & 0.16   & 24.15 \\
106649   & GOODS-S   & 53.1587815   & $-$27.742386   & 1.190   & 1.17$\substack{+0.00 \\ -0.00}$   & 1.20$\substack{+0.01 \\ -0.01}$   & 1.18$\substack{+0.01 \\ -0.00}$   & 150.54   & 1.61   & 0.11   & 22.96 \\
61172    & GOODS-S   & 53.1647452   & $-$27.824545   & 0.650   & 0.67$\substack{+0.00 \\ -0.00}$   & 0.67$\substack{+0.22 \\ -0.00}$   & 0.67$\substack{+0.00 \\ -0.00}$   & 625.22   & 1.59   & 0.05   & 21.35 \\
133802   & GOODS-S   & 53.0777266   & $-$27.683883   & 0.710   & 1.06$\substack{+0.01 \\ -0.02}$   & 1.11$\substack{+0.00 \\ -0.00}$   & 1.11$\substack{+0.00 \\ -0.00}$   & 91.48    & 1.30   & 0.14   & 23.37 \\
106067   & GOODS-S   & 53.0940969   & $-$27.740505   & 0.738   & 0.80$\substack{+0.00 \\ -0.03}$   & 0.76$\substack{+0.01 \\ -0.05}$   & 0.80$\substack{+0.00 \\ -0.01}$   & 882.60   & 1.36   & 0.04   & 20.59 \\
84520    & GOODS-N   & 189.1592064   & 62.268062   & 0.857   & 0.84$\substack{+0.00 \\ -0.01}$   & 0.85$\substack{+0.01 \\ -0.00}$   & 0.84$\substack{+0.00 \\ -0.00}$   & 444.25   & 1.75   & 0.06   & 21.75 \\
18260    & GOODS-S   & 53.1933713   & $-$27.903872   & 0.664   & 0.69$\substack{+0.00 \\ -0.00}$   & 1.49$\substack{+0.00 \\ -0.00}$   & 0.69$\substack{+0.00 \\ -0.00}$   & 1314.17   & 1.37   & 0.04   & 19.96 \\
60481    & GOODS-S   & 53.1462700   & $-$27.831469   & 1.096   & 1.00$\substack{+0.04 \\ -0.04}$   & 1.32$\substack{+0.17 \\ -0.01}$   & 0.95$\substack{+0.14 \\ -0.00}$   & 41.12    & 1.17   & 0.29   & 24.52 \\
126406   & GOODS-S   & 53.0221164   & $-$27.701411   & 0.861   & 0.90$\substack{+0.02 \\ -0.02}$   & 1.40$\substack{+0.00 \\ -0.08}$   & 0.96$\substack{+0.01 \\ -0.00}$   & 176.41   & 1.12   & 0.09   & 23.75 \\
53708    & GOODS-N   & 189.2094343   & 62.212731   & 0.681   & 0.67$\substack{+0.00 \\ -0.00}$   & 0.68$\substack{+0.24 \\ -0.01}$   & 0.67$\substack{+0.00 \\ -0.00}$   & 501.56   & 1.60   & 0.06   & 21.50 \\
41115    & GOODS-S   & 53.2136575   & $-$27.864474   & 0.980   & 0.92$\substack{+0.02 \\ -0.03}$   & 0.91$\substack{+0.09 \\ -0.00}$   & 0.93$\substack{+0.01 \\ -0.03}$   & 45.55    & 1.24   & 0.23   & 23.50 \\
108510   & GOODS-S   & 53.1477213   & $-$27.739197   & 0.880   & 0.88$\substack{+0.00 \\ -0.00}$   & 0.90$\substack{+0.00 \\ -0.01}$   & 0.89$\substack{+0.00 \\ -0.01}$   & 223.49   & 1.62   & 0.07   & 22.91 \\
112789   & GOODS-S   & 53.1061108   & $-$27.724322   & 0.668   & 0.66$\substack{+0.00 \\ -0.00}$   & 0.89$\substack{+0.02 \\ -0.03}$   & 0.63$\substack{+0.01 \\ -0.00}$   & 956.00   & 1.52   & 0.05   & 20.53 \\
72905    & GOODS-S   & 53.1802421   & $-$27.798928   & 0.666   & 0.70$\substack{+0.01 \\ -0.06}$   & 0.50$\substack{+0.00 \\ -0.01}$   & 0.67$\substack{+0.01 \\ -0.04}$   & 680.72   & 1.38   & 0.04   & 21.02 \\
88671    & GOODS-S   & 53.1197250   & $-$27.772304   & 0.735   & 0.72$\substack{+0.00 \\ -0.00}$   & 0.73$\substack{+0.25 \\ -0.00}$   & 0.74$\substack{+0.00 \\ -0.02}$   & 423.41   & 1.61   & 0.06   & 21.59 \\
